generation,objective,score,fatemol,smiles,fate,mol
1,qed,0.3814672873081264,,CCC1CC(=O)C2C3OC4=C(c5cccc(Cl)c5)C=Cc5ccc6c7c5c4c(n7CC(C)(C)N6)C(C1)N32,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe383afe70>
1,qed,0.5371731310284534,,CCN1CC(O)C2COC3=C(c4cccc(C)c4)CCc4ccc5c6c(n(c3c46)C(C1)N2)CC(C)(C)O5,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cdb70>
1,qed,0.5292316677762915,,CCN1CC(O)CC2OC(C1)c1c3c4c(ccc5c4n1CC(C)(C)O5)CC=C(c1cccc(O)c1)C3O2,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cf920>
1,qed,0.4657963917313377,,CC1(C)CN2C3=C(C=CC4N=CC(c5cccc(N)c5)=C5OCC6OC(CC(CO)OC6=O)C2C5=C34)O1,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe383afe20>
1,qed,0.41895054885463895,,CC1(C)CC2=C3C4=C5C2=C(C=CC5C=CC(c2cccc(N)c2)=C4CC2C4C(O)CC(CO)CC3N24)O1,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe1bc9f7e0>
1,qed,0.5204579538272168,,CCC1CC(=O)C2C3OC4=C(c5cccc(N)c5)N=CC5C=CC6=C7C(=C(C4=C75)C(C1)C32)CC(C)(C)O6,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe1bc9f740>
1,qed,0.4546702087893714,,CC1(C)CC2=C3C4=C5C(CCC(C1)C25)CNC(c1cccc(N)c1)C4OCC1OC3CC(CO)OC1O,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cee80>
2,qed,0.5491962967345245,,CCC1CC(O)C2COC3=C(c4cccc(C)c4)OCc4ccc5c6c4C3N(C(C1)N2)C6CC(C)(C)C5,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe00392ca0>
2,qed,0.6665173607250854,,CCN1CC(=O)CC2OC3=C4c5c(ccc6c5N(CC(C)(C)C6)C4C(C1)O2)OC=C3c1cc(O)ccn1,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cd800>
2,qed,0.42105069459985395,,CCC1CC(=O)C2C3OC4c5c(n6c7c(ccc(c57)CCC4c4cccc(F)c4)OC(C)(C)C6)C(O1)C32,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cc130>
2,qed,0.4515404867644282,,CC1(C)Cc2ccc3c4c2N(C1)C1C2OC(CO)=NC(=O)C(CNC(C(c5cccc(N)c5)CN3)N41)O2,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cf1a0>
2,qed,0.48092233246709726,,CCC1CC(O)C2CNC3=C(c4cccc(F)c4)CCc4ccc5c6c4C3N(C(C1)C2)C6CC(C)(C)C5,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003ce5c0>
2,qed,0.4785538918909717,,CCN1CC(F)CC2OC(C1)c1c3c4c(ccc5c4n1CC(C)(C)O5)CCC(c1cccc(O)c1)C3O2,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cffb0>
2,qed,0.5341276808819779,,CCC1CC(=O)C2C3OC4=C(c5cccc(Cl)c5)OC=C5C=CC6=C7C(=C(C(O1)C32)N4C57)OC(C)(C)O6,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003ce890>
2,qed,0.4459718677531012,,CC1(C)CC2=C3C4=C5C(=C(c6cccc(F)c6)C=CC4C=C2)OCC2OC(CC(C=O)OC2=O)C5N3C1,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe00391a80>
3,qed,0.45921201428135866,,CCN1CC(O)CC23CC4=C(c5cccc(F)c5)C=Cc5ccc6c7c5c4c(n7CC(C)(C)C6)C2(C1)O3,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe1bc9f830>
3,qed,0.6180263804759154,,CC1(C)Cc2ccc3c4c2N(C1)C1C2CC(CN)CC(O)C(COC(C(c5cccc(F)c5)OC3)C41)C2,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cdad0>
3,qed,0.41921462489503314,,CCC1OC(=O)C2COC3=C(c4cccc(Cl)c4)C=Cc4ccc5c6c4C3C(C(C2)O1)C6OC(C)(C)C5,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003ce200>
3,qed,0.42619729202469053,,COC1CC2CC(CSC3C(c4cccc(F)c4)CCC4=COC5CC(C)(C)CC6C5C4C3C26)N(C)C1,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003ceca0>
3,qed,0.4267827111695383,,CCN1CC(C)CC2CC3=C(C4=CC(=O)CC=C4)C=CC4C=CC5=C6C(=C(C3=C64)C(C1)O2)CC(C)(C)C5,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe00391260>
3,qed,0.5317450558247844,,CNC1CC(O)C2COC3C(c4cccc(C)c4)OCC4=CCC5=C6C4C3N(C(C1)N2)C6CC(C)(C)O5,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe1bcf6f20>
3,qed,0.3399967613585086,,CCN1CC(=O)C2C3C(O1)c1c4c5c6n1c(c(-c1cccc(N)c1)ccc-6ccn5CC(C)(C)O4)=CN23,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe00391bc0>
4,qed,0.6307864789889237,,CNC1CC(O)C2COC3C(c4cccc(F)c4)OCc4ccc5c6c4C3C(C(C1)C2)N6CC(C)(C)O5,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cf0b0>
4,qed,0.5868846736177518,,CNC1CC(O)C2COC3C(c4cccc(C)c4)OCC4CCC5=CC(C)(F)OC6C5C4C3N6C(C1)C2,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe00390b80>
4,qed,0.4327353052964193,,CC1(C)Cc2ccc3c4c5c(n(c24)C1)C12CN(C#N)CC(O)CC1(CC5=C(c1cccc(F)c1)C=C3)C2,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cfe20>
4,qed,0.43157417866781245,,CCN1CC(O)CC2CC(C1)C1C3CC(C)(C)CC4CCC5C=CC(c6cccc(F)c6)C(C2)C1C5C43,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003ce340>
4,qed,0.6087202087938405,,CC1(C)Cc2ncc3c4c2N(C1)C1C2CC(CN)CC(F)N(COC(C(c5cccc(F)c5)OC3)C41)C2,purged,<rdkit.Chem.rdchem.Mol object at 0x75fe003cf9c0>
