,receptor,ligand,scores
0,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size69_3.sdf,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, -4.7, nan, nan, nan, nan, nan, nan, nan, nan, nan, -6.1, nan, -4.9, -7.7, nan, -4.5, nan, nan, -3.1, nan, nan, nan, nan, nan, nan]"
1,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size34_2.sdf,"[-7.1, -8.6, nan, -8.1, -9.3, -9.4, nan, nan, -11.5, -9.1, -9.9, -6.6, -8.8, -8.2, nan, -7.5, nan, -7.3, nan, -5.4, -8.0, nan, -9.2, -6.8, -7.6, -9.1, -7.2, -6.0, -7.9]"
2,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size65_2.sdf,"[nan, nan, nan, nan, nan, nan, -3.9, nan, nan, nan, -6.8, nan, nan, nan, -8.9, nan, nan, -7.4, nan, nan, nan, nan, nan, nan, nan, -8.2, nan]"
3,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size43_2.sdf,"[-8.4, nan, nan, -7.5, nan, -8.0, -8.5, -7.4, -8.5, nan, nan, nan, nan, -7.2, nan, -7.0, -6.8, -6.7, -8.1, -7.1, -7.9, -7.2, nan, nan, -8.1, nan, nan, nan, -8.8]"
4,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size60_2.sdf,"[nan, nan, nan, nan, -7.8, -9.9, nan, nan, -7.8, -5.3, nan, nan, nan, nan, nan, nan, -8.2, -8.1, -8.3, nan, nan]"
5,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size47_2.sdf,"[-8.3, nan, -7.1, -8.1, nan, -8.5, -6.8, -9.2, nan, nan, -8.6, nan, -10.8, -8.0, -6.5, -8.9, -6.9, nan, -9.1, -6.9, nan, nan]"
6,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size31_3.sdf,"[-9.8, -9.9, -7.2, -5.7, -9.3, -6.3, -9.5, -5.8, -8.4, -8.1, -9.1, -8.7, -8.2, -6.9, -7.8, -6.5, -8.4, -9.2, nan, -8.2, -8.4, -8.7, -7.4, -7.8, nan, -6.7, -7.3, nan, -8.7, -5.8, -8.8, -8.1, -8.3, -11.5, -9.1, -7.2, -8.2, -10.4, -6.8, nan, nan, -9.6]"
7,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size54_3.sdf,"[nan, nan, nan, -7.9, nan, nan, nan, nan, nan, -7.3, nan, nan, nan, nan, -9.6, nan, -7.9, nan, -8.0, -7.2, nan, -7.2, nan, nan, nan, -5.8, nan, nan, nan, -8.4, -8.4, nan, -9.3, nan, -8.8, nan, -10.5, nan, nan, -7.5, -7.9, nan, -7.0]"
8,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size40_3.sdf,"[-9.5, -7.5, nan, nan, nan, -6.3, -7.9, nan, nan, -7.1, nan, -9.1, nan, nan, -10.2, -7.2, -8.5, -6.5, -10.3, -8.8, -8.7, nan, nan, nan, nan, -6.2, -8.5, -6.0, -8.6, -7.5, -6.7, -8.9, -5.9, nan, -8.4, -8.3, -8.0, -9.2, -6.8, nan, -8.5, -7.6]"
9,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/wild_type.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/generated/G2019S_mol_size44_2.sdf,"[-7.8, -7.7, -8.1, -8.8, -9.3, -7.3, -9.6, -7.6, -7.7, -8.5, nan, nan, -8.2, -8.5, nan, -7.2, nan, -8.8, -10.0, -5.6, -6.8, -7.7, -7.9, -7.1, -7.8, -10.1, -7.7, nan, -8.8]"
