,receptor,ligand,scores
0,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size27_1_out.sdf,-8.5
1,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size37_2_15_out.sdf,-7.5
2,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size48_2_16_out.sdf,-6.2
3,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size45_2_6_out.sdf,-8.1
4,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size45_3_30_out.sdf,-4.4
5,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size44_2_6_out.sdf,-9.6
6,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size26_3_43_out.sdf,-8.3
7,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size48_2_22_out.sdf,-3.2
8,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size39_3_37_out.sdf,-9.1
9,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/wild_type/pdbqt/8TXZ/8TXZ.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/generated/docked/wild_type/8TXZ/G2019S_8TZC_size33_3_21_out.sdf,-7.2
