generation,objective,score,fatemol,smiles,fate,mol
1,qed,0.0365562596902737,,CC(C)N1C(F)C(O)(F)C1NCO.CC1C=CCC(C23CC2(F)O3)OCc2cccc(n2)C#Cc2c(-c3ccc(N(N)N)cc3)cc3cccnc3c2O1.O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47128860>
1,qed,0.1493188811473778,,CC(CO)(C(O)C(O)CO)C(OC(=O)NCC1CCC2CCCC(=NC=C3C(CC(O)CCO1)c1ccccc1CC3C1CCC(C3CC3)NC1)C2)C(O)O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47116200>
1,qed,0.05436872942407893,,CC1=C=C2C(C=Cc3cccc(c3)OCC(CCC(F)(F)C(F)(OC(=O)O)C3(O)CC3C(=O)CO)CCC1)C(c1ccc(C(=O)O)cc1)CC1(CO1)C2OO,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd7650810>
1,qed,0.12750542510656523,,CNC(O)C(OC(=O)O)C(C)(F)C(=O)C(F)(F)CCC1=NCCN(C)Cc2c3c(cc(-c4ccc(C(=O)O)cc4)c2CCC2CCCC(CN1)C2)CCCC3,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc4712bd30>
1,qed,0.10752164008421365,,O=C(CCCCCC1CC2(C1)CN(C(=O)O)C(C(O)CO)C(F)(F)C2=O)NC1=C(CCC2=CC3CN3C=C2)C(c2ccc(C(=O)O)cn2)NC2CC(O)CC12,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc4712a020>
1,qed,0.24330901845517827,,CC(C)N1C=CC(N2CC3CCCOC3C3CC(=O)CCCC(CCC(F)F)COc4cccc(c4)C#CC32)CC1.COC(=O)C1OC(F)C(C)C1C(=O)O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc4712b380>
2,qed,0.1793418713731247,,CC(N)NC1CC2COC(=O)N(CC3CCCC(O)CC4C5CCCCC5CC(C5CCC(C(=O)S)CO5)C4COc4ccnc(c4)CC3)CC2C1C(=O)O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47130450>
2,qed,0.15174779486946266,,CCC1(C(OC2=CCC3(CCCC(C)OC4c5ccccc5N=C(c5ccc(OC=O)nc5)C4N=CC4=CCCC(CC3)C4)C2)C(O)O)CC1(O)C(O)CO,purged,<rdkit.Chem.rdchem.Mol object at 0x72bba42820c0>
2,qed,0.1979428230063486,,CC(C)c1ccc(C2=C3COc4cccc(c4)CCC(CCC4(O)CC5C(OCO)NC(CO)CC5(F)C4O)C4CN4C(=O)CN3C3=CC=CCC3=N2)cc1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd991f380>
2,qed,0.07402615678225884,,COC(O)C1C(C(=O)O)OC(OC(=O)CCC2CC2)C(O)C1(F)F.COO.Cc1cccc(CCC2=C(N3CCC(C)C3)N=C3SC(=O)CC3N2CC=O)c1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd991f290>
2,qed,0.2233904136184809,,CCC1OC2CC(CC(CC3=CCCN(O)CC4(CCC5CC(CCO5)CC3)OC3CC=CCC(C3)C4C3C=CN(C(C)C)CC3)C3CC3)C(C(=O)O)C1O2,purged,<rdkit.Chem.rdchem.Mol object at 0x72bba4275800>
