,receptor,ligand,scores
0,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size28_64_out.sdf,-7.6
1,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size30_3_183_out.sdf,-5.8
2,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size32_166_out.sdf,-8.7
3,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size32_191_out.sdf,-8.7
4,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size55_3_4_out.sdf,-8.3
5,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size34_2_62_out.sdf,-7.9
6,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size34_2_50_out.sdf,-8.3
7,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size32_82_out.sdf,-8.1
8,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size43_3_185_out.sdf,-7.3
9,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size32_48_out.sdf,-6.5
10,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size32_3_56_out.sdf,-9.4
11,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size32_3_74_out.sdf,-11.5
12,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size25_3_153_out.sdf,-11.0
13,/home/markus/Malabio/DiffSBDD/data/production/LRRK2/G2019S/pdbqt/8TZC/8TZC.pdbqt,/home/markus/Malabio/DiffSBDD/results/LRRK2/G2019S/8TZC/optimized100/docked/G2019S/8TZC/G2019S_8TZC_size31_3_156_out.sdf,-8.0
