generation,objective,score,fatemol,smiles,fate,mol
1,qed,0.6514267815114099,,CC(N)C(=O)NCC1Cc2c(ccc3cc4ncccc4n23)C(=O)N1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc4712b4c0>
1,qed,0.9112735657364388,,O=C(O)C1CC1CC1=CC2C(=CC=C3N=c4ccccc4=C32)C(Cl)=C1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76b5440>
1,qed,0.49296065249784227,,O=C1CC(OCCCC(O)O)Cc2c1ccc1[nH]c3ccccc3c21,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47115800>
1,qed,0.5505820053427126,,Cc1cc(CCC(O)C(=O)O)cc2c1ccc1sc3ccccc3c12,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47116020>
1,qed,0.6177885119045735,,CC(C=C=C1C=C(Cl)c2ncc3sc4ccccc4c3c2C1)C(=O)O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c5ee0>
1,qed,0.799402806396029,,NC(COc1cc(Cl)c2cccc(C3C=CCCC3=O)c2c1)C(=O)O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc471156c0>
1,qed,0.6427266348649694,,Cc1cc(CNC(N)C(=O)O)cc2c3c(ccc12)NC1=NC=CCC13,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c61b0>
1,qed,0.6273485470657231,,N=C(CCC1Cc2c(ccc3sc4ncccc4c23)C(=O)N1)C(=O)O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c65c0>
2,qed,0.5369170908768658,,Cc1nc(CNC(=O)C(C)O)nc2c1ccc1[nH]c3ccccc3c12,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c6480>
2,qed,0.4690725575222603,,CN(C)C(O)COC1C=C2C(C(=N)NN2c2ccccc2N)C(F)C1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c6840>
2,qed,0.6184111387558767,,O=C1NC(CNC(=O)N2CC2)Cc2c1ncc1[nH]c3ccccc3c21,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c6700>
2,qed,0.8975446075244131,,Cc1nc(CNC(C)C(=O)O)nc2c3c(ccc12)N=C1C=CC=CC13,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc4712bce0>
2,qed,0.8460537828417262,,O=C(O)C1CC1CC1=NC(=S)c2ccc3c(c2C1)C1C=CC=CC1=N3,purged,<rdkit.Chem.rdchem.Mol object at 0x72bba42825c0>
2,qed,0.762359363000758,,CC(CCC1Cc2c(-c3ccccc3F)cccc2C(C)C1)C(=O)O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bba4282070>
2,qed,0.6886359236283743,,CC1NC(CNC(=O)C2CN2)CC2=C1C=CC1C=CC3=CC=CC3=C21,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47129da0>
