generation,objective,score,fatemol,smiles,fate,mol
1,qed,0.7281842283031208,,CN1CCC(OC2OCCC(CO)C2CC2=C3C=CC(F)=CC3SC=C2)C1O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd9aa3510>
1,qed,0.7740464965795304,,CCC(C)C(C)=C=O.O=C1c2ccccc2CC2c3ccc(F)cc3CNC12,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd991f290>
1,qed,0.8241398246125945,,CC1CCN(CC2CCNC3C2CC2c4ccc(O)cc4CCC2N3C)C1=O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47116200>
1,qed,0.6412435360080424,,Cc1ccc2c3c(ccc2c1)NC(=O)CCCC(CC1C(O)C(O)C1O)C=N3,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47130810>
1,qed,0.5281165098142515,,CC1(C(O)C(F)N2CC(O)C3CC4=CCc5cc(O)ccc5N4CC32)CO1.F,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd9bb04f0>
1,qed,0.6666527860943481,,Cc1c2cccc(CN3CCC(C)C3C)c2cc2c3c(sc12)=CC=C(O)CC=3,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47116070>
2,qed,0.4269771836005976,,C.C#CC1(C(O)C2=C3OC4C(CC=C5CC(O)=CCC54)C(=C)C3CCC2)CO1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc471160c0>
2,qed,0.7727635002724438,,CC1CCN(CN2OC(O)C(CO)C2CC2SCCc3cc(F)ccc32)C1=O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c7380>
2,qed,0.7478399455306144,,CC1c2cccc(CC3CCCCN3C)c2CN2C1SC1CC3N(C)CCC132,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c61b0>
2,qed,0.7508656969859246,,CC1C(CN2CCC(O)C(N(C)C3CC4C=CC(=O)C=C4CS3)C2)OCN1C,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c7b00>
2,qed,0.7362649124155078,,CCC(=O)N(C)CCC1CCCC2C(=O)c3ccc4cc(C)ccc4c3CC12,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47129a80>
2,qed,0.5686535098238373,,CCC(CC1C(OC2OCC(C)C2=O)=CCNC1CO)C1=CCC(O)CC1F,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c7dd0>
2,qed,0.8071241365829132,,Cc1cc(C2=CCC(F)=CC=C2O)nc2c(C3COC4CC4C3O)cccc12,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c7bf0>
3,qed,0.6502883141703701,,CC1COCC(c2cccc3c(F)cc(C=C=CN(C)CC#CO)cc23)C1=O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c51c0>
3,qed,0.6465717208649584,,CC1CCC(C2C3CC(=O)CC4OCCC(CC5C(=C=O)CC=CN52)C43)C1C,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47115b70>
3,qed,0.238415706365797,,CCC(C)CCOCC(O)CCN(C)NCNc1ccc2cc(O)ccc2c1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c7150>
3,qed,0.7104766093519884,,CC1C2CCOC(CC(=CF)C(O)CO)C2CCN1CCc1csn(C)c1=O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc4712b380>
3,qed,0.704017068089301,,C.O=C1N=CC(F)CCC1C1=CCC2=NOCC(C3CCNC(F)C3O)C2=C1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c5da0>
3,qed,0.7013766093864676,,CCC1C(=O)OC(CC2CSC(C)=C2N)N1CC1CCCc2cc(Cl)ccc21,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c62a0>
3,qed,0.7578351056604885,,O=C1C=CC2CC(C3C4N5CCCC(OC6CCCC7CC76)OC345)NCC2C1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bc47117380>
3,qed,0.6244456727812538,,C1CC23CN2C3CN1.CC(c1cccc(CC2CCCCN2C)c1)N(C)C=O,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c6930>
4,qed,0.6927295099800168,,NC1=CCCC(C=CC2CC3(CCCOCC(NC4CCCOC4N)=N3)C2)=C1,purged,<rdkit.Chem.rdchem.Mol object at 0x72bbd76c60c0>
