generation,objective,score,fatemol,smiles,fate,mol
1,qed,0.6407968053194871,,CCC(=O)N(C)C(C)CNCC(=O)c1ccc2ccc(O)cc2c1C1=CCN=CC=C1,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fd8d60>
1,qed,0.8057543338014622,,CC(C)NC1CCN(C2=NC(C)C(c3cc(F)n(C)n3)c3cc(F)ccc3O2)CC1C,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fd8180>
1,qed,0.7731195411741698,,CC(CN1Oc2ccnc(N)c2C2=C1C=CN1CC3(CC3)CC21)C12CC1(C)N=C(N)O2,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fdb600>
1,qed,0.6105539196993073,,Cc1ccc2c(c1)C1C3=C(CCCC(NC4C(C)C4CCCC(C)O)C1CC2)COC3,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fdb740>
1,qed,0.44493193381917906,,C=C1C(C(CO)OC2=C(O)C(C3=NC(=N)CN3)=C3CC(Cl)=C(C)C=C3C=C2)NCN1C,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fda980>
1,qed,0.7269828316481886,,COC1CC(=O)C(CCC2c3ccc4ccc(O)cc4c3C3CC=CNCCC23)C1=O,purged,<rdkit.Chem.rdchem.Mol object at 0x796d733b06d0>
1,qed,0.6317568876725431,,O=C(NC1c2ccc3ccc(F)cc3c2C23CCNC=CC2N13)C1CNC(=O)C2OC12,purged,<rdkit.Chem.rdchem.Mol object at 0x796d75140950>
2,qed,0.5002748063843903,,CC(=N)C(F)C1(C2CN(C3=NC(=O)C(C)C4C(c5cccc(N)c5)C34C3CC3)N2)CC1,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fda1b0>
2,qed,0.4693072526296957,,CC1=CC(=O)C(N(CC2CCC34CC(=O)OC3(C)C4(C)C2)C2OC2C(CO)CO)=CC1,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fdae80>
2,qed,0.3106741182720501,,CCC(O)NC1CC12c1cc(Cl)ccc1C(NC1CCC(NC(=O)O)C(O)C1)C2CO,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fdbf10>
2,qed,0.6459461144315901,,CNC1CC2C3C(C4C5CSC6C=C(C)CC7C(=C67)c6cccc(Cl)c6CC54)C12N3C,purged,<rdkit.Chem.rdchem.Mol object at 0x796d75519760>
2,qed,0.7009781377728694,,CC1CCC2N=C(C3CC34C3CCN(CCO)C34)OC(Cl)=C3C4CC=NCC4NC1C32,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fda840>
2,qed,0.6797805270439444,,CC1C2C3CCN(CSC3=CC3C4=NC=NC(=O)C4C4NC5(CC5)COCC5C3C54)C12,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fdb060>
2,qed,0.15913495140671513,,C=C1C2NC(C(O)C(=O)NCN(C)O)CCC2C2(C(=C)N2C)C2C(O)C12CC(C)OC,purged,<rdkit.Chem.rdchem.Mol object at 0x796e34942a70>
2,qed,0.42819544603053017,,CC1CC=CCCCC1NCc1cc2c(c3c1NCC(NC(=O)CN)O3)CCCCC2,purged,<rdkit.Chem.rdchem.Mol object at 0x796e34943f60>
3,qed,0.690415290767,,CC(=O)C1=C(C2CCCC(C)C2)C2C(NCC3CC3)=NC2C1=O.CC1=NCCC(C)O1,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fd8860>
3,qed,0.15497944043350076,,C=CCC1(O)NC1CC(CCCC=CC)CC1CC1C1CC1.NC(N)=O.O=C(O)CO,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fda930>
3,qed,0.4173789745948526,,CCC1COCCC2NC(CC)C3C4C(SCC(O)C(C)O)C=CNC(C2C(O)C1)C34,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fdba60>
3,qed,0.2353264190245663,,CC(=O)C1(CCCCC(=O)N(C2C=CC(O)CC2)C2CCCCCC2)CC1OC(C)O,purged,<rdkit.Chem.rdchem.Mol object at 0x796e34940270>
3,qed,0.8300996828407268,,CCC1CCC2C(=O)n3c(CC4CN5C(C)C6CC4C54CC64)c4ccnc(N)c4c3N12,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fd8c20>
3,qed,0.6414940326639768,,C#CCC12OC(F)(F)C3(N4CC5CCN(C)CC5C(N5OCC(F)C5N)C4=O)CC1C23,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fd99e0>
3,qed,0.27472496160839693,,CC1CC(OO)C2ON(P(=O)(F)C(C)OC(C)(F)S(C)=O)C3NC(C)C(CO)C(O1)C23,purged,<rdkit.Chem.rdchem.Mol object at 0x796e349407c0>
4,qed,0.6274411237395775,,CC1COC(CCCC2c3cccc(F)c3N3C2C3(CC(=O)O)C(C)(O)F)C2CC2C1,purged,<rdkit.Chem.rdchem.Mol object at 0x796d65fda7f0>
