generation,objective,score,fatemol,smiles,fate,mol
1,qed,0.645101615493844,,CC1CC(O)CN(CCc2nc3ccc(F)cc3c3c2CCc2ccc(Cl)cc2-3)N1C,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b9c25b6f0>
1,qed,0.5668345694721049,,C=C1C(CC2CN2)CCN1CC1=Nc2ccc(F)cc2C(C2=NC(N)=C(C)C2)C1=C=O,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc2200>
1,qed,0.6258998575011587,,CN1CCC(C2C3C(=C(CCCC(O)CC4C5CN45)C4C=CC(=O)CC43)C(=O)N2C)C1,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc0cc0>
1,qed,0.4724083936137295,,CC1=CN2N=C(CNc3ccc(O)cc3-c3nccc4ccc(O)cc34)SC2CCC1,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc17b0>
1,qed,0.49058845687783076,,CC(=O)OC1CCCN(Cc2c3cnc4ccc(Cl)cc4c3n3[nH]c(=O)ccc23)C1C,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc3b00>
1,qed,0.35845486671632765,,CC1NN1.NC1=C2C3CC(CCC4C(F)C4S)N=C(c4cc(O)ccc4F)C23CN=N1,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc1580>
1,qed,0.49807096204204304,,C=COC(C)C(F)=CNN=C1C(C)c2c[nH]c(=O)cc2C2c3cc(Cl)ccc3CCC12,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b9b91c720>
1,qed,0.4203333354173874,,CC1COC(C(O)Cc2nc3ccc(O)cc3c3c2cnc2ccc(Cl)cc23)C(C)N1,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc13f0>
2,qed,0.5008857745785862,,CSC(C)CC1CC(Nc2ccc(Cl)cc2OC2CCN3C=CN(C)C=C23)=NSC1C,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc07c0>
2,qed,0.2937359343699665,,CCC.CCC(Cl)COCCC1CN1C1CCN2C1C21CN1.O=C1OCc2cocc21,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc21b0>
2,qed,0.5918056249697967,,CN1CCCC(C2c3cc(Cl)ccc3NC3(C(O)C4OC(CO)C(=O)N4C)OC23C)C1,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6c5d346840>
2,qed,0.3323001771086772,,Cc1ccc2c(=O)ncc3ccc4cc(N)ccc4c3c2c1.NC(=O)C1OC1C(N)=O,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b9b91f100>
2,qed,0.345868072091713,,C=CC1=C(C)N1C#N.CCC.CO.Cc1ccc(O)cn1.N.OCC1CC2C(O)N2C1,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b9b91f3d0>
2,qed,0.4286892912577444,,CC(C)CCO.COC(F)CCC(=O)OCN1C(=O)C2C(C)C2OC1C(CCO)OC,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b9b91ddf0>
2,qed,0.8106960463273477,,CC1CN=C2C1=c1c(c(CCN3CC(F)C4(CC4)CO3)cc3ccc(=O)[nH]c13)=CN2C,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b9b91fd80>
2,qed,0.3024377216517973,,COCC(C)C1CC1(O)N=C(Nc1ccc(O)cc1)C1=CC=C2NC=C(OC)C=C2O1,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc3600>
3,qed,0.5172744111847668,,CC1CC(=O)CCC(O)C1.CCC1=C2COCCC2=C2C3=C(C=COC13)C(O)N2C=O,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6c5d347470>
3,qed,0.35917998606867313,,C=NC(C(=O)SC)C(C)C(=O)OCC1CC2COC(=O)CN2C1OC(CCO)C(C)C,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b8dfc0a40>
3,qed,0.5023782960306354,,CC1SCC2=C1OC1(CCC(O)CC(C3CC34CCC3CCCCC34)NC2=O)CC1S,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b9b91ea70>
3,qed,0.6498570241395495,,NC(=O)CC1(C(c2cc(Cl)ccc2F)C2C=CCC3CN4CC=NC=C4CCC32)CC1,purged,<rdkit.Chem.rdchem.Mol object at 0x7e6b9b91c450>
