Filename,Generated,HAcceptor,HDonor,Lipinski,Lipinski_violation_rule1,Lipinski_violation_rule2,Lipinski_violation_rule3,Lipinski_violation_rule4,Lipinski_violation_rule5,Lipinski_violation_rule6,LogP,Method,QED,QVinaScoreG2019S7LI3,QVinaScoreG2019S8TZC,QVinaScorewild_type8TXZ,RotatableBonds,SA,Smile,TPSA,Weight,FilenameCount,BBBprob
G2019S_8TZC_size30_3_159_out.sdf,True,1.0,0.0,6.0,True,True,True,True,True,True,0.3997199999999999,optimized100,0.6253804053363181,-8.8,-13.1,-5.1,0.0,0.28,[C]c1[c][c][c]c2c1=C1[C][C]3[C][C]([O])[C]([O])[C][C]3[C]([O])[C][C]C3=C([O])[C]=[C][C](N=2)C1=[C]3,91.96,377.98273248,3,0.35006058
G2019S_7LI3_size37_84_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,1.9956200000000008,optimized50,0.4732012603177997,-9.1,-12.9,-8.0,1.0,0.23,[C]C1([C])[C][C]2[C]=[C][C]3[C]=[C][C](c4[c][c][c]c([N])[c]4)[C]4[C][C]5[C]6C(=O)O[C]7[C](F)[C]7[C]([C]7[C]([C]1)[C]2[C]3[C]47)N56,51.61,462.99438046000006,3,0.76861537
G2019S_8TZC_size30_3_171_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,2.929430000000001,optimized100,0.6892178185646398,-8.7,-12.9,-5.9,0.0,0.28,[C][C]1[C][C]2[C]([C][C]1F)[C]C1=C3[C]=C([C][C]N2[C])C([O])=[C][C]=C3Oc2[c][c][c]c(F)c21,32.37,383.98970968,3,0.3113876
G2019S_8TZC_size28_160_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,1.020680000000001,optimized100,0.7137489652414908,-8.2,-12.9,-10.2,1.0,0.3,[C]N1C2=[C]Oc3[c]c(F)[c][c]c3C2=[C]c2c([C]3[C][N]C(=O)C(=O)[C]3)[c][c][c]c21,60.71,358.98929508,3,0.22829285
G2019S_8TZC_size34_2_90_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,1.6499500000000011,optimized100,0.4223268370805548,-9.1,-12.8,-10.6,4.0,0.27,[N]C(=O)C1=[C][C]=c2sc3n[c]c4[c]c([C]c5[c][c]c6[c]c(C([O])=O)[c][c]c6[c]5)[c]c(c2[C]=[C]1)c4=3,89.22999999999999,443.96296286,3,
G2019S_8TZC_size27_2_150_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,4.212010000000001,optimized100,0.3062132240091501,-8.6,-12.8,-11.2,0.0,0.35,[O]c1[c][c]c2c([c]1)-c1nc3[c]c(F)[c][c]c3c3nc4[c]c([O])[c][c]c4c-2c13,65.58,342.99438046,3,0.41109833
G2019S_8TZC_size32_3_37_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,3.6855200000000017,optimized100,0.5762790502524017,-9.3,-12.7,-9.3,0.0,0.23,[O]c1[c][c]c([O])c2c3c(oc12)-c1[c][c][c][c]c1N1[C][C]2[C][C]C4([C][C]2[C][C]31)[C]1[C]O[C][C]14,65.41,401.9827324799999,6,0.22442518
G2019S_8TZC_size32_98_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.735860000000001,optimized100,0.4251225695347549,-9.1,-12.7,-9.6,1.0,0.29,[C]C1=[C][C]=C(n2[c]c3c4[c][c][c][c]c4oc4oc(=[N])oc5[c][c][c]c2c5-c=4-3)C([O])=C(F)[C]1,86.55000000000001,410.9842097,3,0.0420473
G2019S_8TZC_size34_2_143_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,1.8745700000000003,optimized100,0.605514536181259,-8.7,-12.7,-8.3,2.0,0.27,[O]C(=O)c1[c][c]c2[c]c(C3=[C]C4=c5[c]c6c([c]c5=[C]C5=[C][C]=[C]C(=N3)[C]54)[N]C(=O)S6)[c][c]c2[c]1,80.5,443.96296286,3,0.06659742
G2019S_7LI3_size31_19_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,1.826060000000001,optimized50,0.4853813102563446,-10.0,-12.6,-11.0,2.0,0.29,[C]c1[c][c]c2[c][c]c3c([N]C(=O)[C]4[C]O[C]([N])[C]N4[C])nc4[c][c]c(F)[c]c4c3c2[c]1,78.83,395.00052846,6,0.1820933
